=======================.Data========================
0x10010000:	00000000 | 00000000 | 00000000 | 00001000
0x10010004:	00000000 | 00000000 | 00000000 | 00000101
0x10010008:	00000000 | 00000000 | 00000000 | 00001010
0x1001000c:	00000000 | 00000000 | 00000000 | 00001001
0x10010010:	00000000 | 00000000 | 00000000 | 00000010
0x10010014:	00000000 | 00000000 | 00000000 | 00000110
0x10010018:	00000000 | 00000000 | 00000000 | 00000111
0x1001001c:	00000000 | 00000000 | 00000000 | 00000000
0x10010020:	00000000 | 00000000 | 00000000 | 00000000
0x10010024:	00000000 | 00000000 | 00000000 | 00000010
0x10010028:	00000000 | 00000000 | 00000000 | 00000101
0x1001002c:	00000000 | 00000000 | 00000000 | 00000110
0x10010030:	00000000 | 00000000 | 00000000 | 00000111
0x10010034:	00000000 | 00000000 | 00000000 | 00001000
0x10010038:	00000000 | 00000000 | 00000000 | 00001001
0x1001003c:	00000000 | 00000000 | 00000000 | 00001010
0x10010040:	00000000 | 00000000 | 00000000 | 01010100
0x10010044:	00000000 | 00000000 | 00000000 | 01110000
0x10010048:	00000000 | 00000000 | 00000000 | 01110010
0x1001004c:	00000000 | 00000000 | 00000000 | 01101001
0x10010050:	00000000 | 00000000 | 00000000 | 01101111
0x10010054:	00000000 | 00000000 | 00000000 | 00100000
0x10010058:	00000000 | 00000000 | 00000000 | 01110100
0x1001005c:	00000000 | 00000000 | 00000000 | 00101110
0x10010060:	00000000 | 00000000 | 00000000 | 00000000
0x10010064:	00000000 | 00000000 | 00000000 | 00000000
0x10010068:	00000000 | 00000000 | 00000000 | 00000000
0x1001006c:	00000000 | 00000000 | 00000000 | 00000000
0x10010070:	00000000 | 00000000 | 00000000 | 00000000
0x10010074:	00000000 | 00000000 | 00000000 | 00000000
0x10010078:	00000000 | 00000000 | 00000000 | 00000000
0x1001007c:	00000000 | 00000000 | 00000000 | 00000000
0x10010080:	00000000 | 00000000 | 00000000 | 00000000
0x10010084:	00000000 | 00000000 | 00000000 | 00000000
